Review-Text,Review-Date,Star-Rating,Web-Site
This car is a very wonderfully design by Kia motors. Its headlights are very attractive and the front view of the car is very amazing. Kia Motors are giving the best function in this car of a 360-degree rotating parking camera with sunroof and also 6 airbags. The wooden finish in the interior of this car is very fabulous. Very luxurious sitting in ...Read More,"Dec 16, 2019",5,cardekho.com
It's a brilliant 5 seated car with heavy power and excellent fuel mileage. It's look is pretty awesome.,"Dec 17, 2019",5,cardekho.com
Great car to drive and good proportions. There is less body roll at the back. Superb interiors and great tech inside. I heard quite a few comments that servicing is not that great but I have never experienced such an issue. Overall it's good. Read More,"Dec 17, 2019",4,cardekho.com
"Excellent car specification, head-lamp display, alloy wheels are very good and the design is amazing.","Dec 16, 2019",5,cardekho.com
"Kia Seltos is a great car with good mileage, low maintenance cost and fully feature-loaded car. Amazing body design and perfect interior getting in this car.","Dec 16, 2019",5,cardekho.com
"Good ride quality, refined engine, and 1.4 petrol motor is a blast to drive. Build quality gives a premium feel. Nice and spacious cabin well-built car.","Dec 16, 2019",4,cardekho.com
"Nice and bold car Kia Seltos. Looking beautiful, nice shapes and aggressive looks. ","Dec 16, 2019",5,cardekho.com
"Best car with high end features in a medium budget. When this car was launched in India it beat the Tata Harrier and MG Hector but it has a common exterior design that looks like Creta. It doesn't give a fresh look. Peopld liked it because of high features in this car with some more expenses. Due to high sales in India, this company became India's ...Read More","Dec 16, 2019",4,cardekho.com
Kia Seltos is a nice car. Also getting very nice interior and exterior in this vehicle.  ,"Dec 16, 2019",5,cardekho.com
Kia Seltos is one of the topmost good cars because of his good performance and many other excellent features at a cheap price. It is a new company which enters in Indian market but set up the best and strong market in the country we should appreciate to all to members who are working for the Kia company and thanks to designer who give this the best...Read More,"Dec 15, 2019",5,cardekho.com
"Superb car, it will be a good experience to drive a car like this and it will be ruling on Indian Road in the future. The taught of innovation to make this car for Indians very thankful. The technology used in this car is best for the price tag they have. The shape is the perfect SUV in the market. The LED lights front light everything is perfectly...Read More","Dec 15, 2019",4,cardekho.com
This car is superb for mileage and looks stylish and furious. This is an awesome car.,"Dec 15, 2019",5,cardekho.com
"It is so well designed and comfortable car. I am glad to see such a car in that budget. First I had a Honda City but KIA is better than it. I and my whole family are enjoying it. It is also perfect for long journeys and from one state to another journey. I also like traveling, so I recommend all this car for travelers. Thank you. Read More","Dec 15, 2019",5,cardekho.com
"Poor suspension setup. Stiff suspension gives jerks even on smaller bumps. I am surprised why people ignored this. Suspension of Creta is better, best indeed.","Dec 15, 2019",1,cardekho.com
I have purchased Seltos HTK PLUS Diesel Automatic car is good in handling and running on roads. But there are some problems in quality car doors is very lightweight inside material is also not so premium as I was thinking. The average is also not so good. The audio system is very awesome with mood lighting features. seats are very comfortable but t...Read More,"Dec 15, 2019",4,cardekho.com
Kia is an affordable product for SUV lovers. If we are comparing Kia Seltos or Creta so Kia will definitely wins this segment.,"Dec 15, 2019",4,cardekho.com
"Kia Seltos is the next-generation car with excellent features. It's Style, Performance & interior is Luxurious. I love this car. I'm totally satisfied with this. Sporty Looks & Cool headlights make it more attractive. Also, getting good quality speakers in this car. Read More","Dec 15, 2019",5,cardekho.com
Very good car and smoothness of the car is nice and features of the car are awesome. The car looks like an SUV and nice-looking exteriors.,"Dec 15, 2019",5,cardekho.com
"Kia Seltos is a very excellent car, as it offers much more features than other cars in this price range, but its top-end model is not value for money because it offers the smaller engine as compared to its rivals. Read More","Dec 15, 2019",5,cardekho.com
Nice car with a lot of features including 360 camera facilities and lot of things which are given the first time in any vehicle in India with low cost and vehicle comfort is high and performance is also good cc is excellent and so on etc enjoy Hia motors enjoy Kia Seltos. Read More,"Dec 14, 2019",4,cardekho.com
"I have this car, it's awesome, I am using this car last three months, I haven't felt any problem and it's very good at driving and price-wise it's really good amazing features, a stylish look which makes it perfect. Read More","Dec 14, 2019",5,cardekho.com
"Seltos is good, but they need to lower the budget but the car and it is a high-class luxury car. The handling is also very smooth, pickup speed is also superb, the AC cooling is good and superb brakes. But the airbags must be more so that it will ensure safety of the people. Read More","Dec 14, 2019",5,cardekho.com
Seltos is an awesome and comfortable car with low maintenance and low price. The facilities available are good looking at high range.,"Dec 14, 2019",4,cardekho.com
This is a very nice car and the features are very good. People must buy this car. The seats are very nice as well.,"Dec 14, 2019",5,cardekho.com
"Good space and excellent comfort, safer, looks are bold and stylish. The best car in this budget for a small family.","Dec 14, 2019",5,cardekho.com
An awesome and classy car with its amazing features and beautiful and classy look. No other car in this range can give take over to Kia Seltos. This is my humble request to Kia to introduce more cars like this and keep going like this. Read More,"Dec 14, 2019",5,cardekho.com
"A compact SUV with the styling, features, and tech to really hit the sweet spot as far as what customers are looking for.","Dec 14, 2019",5,cardekho.com
Nice car with suitable features and the cost is also reasonable but the thing is availability. It's not available at all places.,"Dec 14, 2019",4,cardekho.com
"Well, a featured car with full specifications and well likable also, I love to ride this car every time and the main part is that it is suitable for every type of person. Read More","Dec 14, 2019",4,cardekho.com
"Nice car and the design was too awesome. This is the awesome entry of Kia in India. It includes a bose speaker which is too good. In India, this is a first car comes inbuilt bose speakers which are a pretty good thing about the car. The interior was also a good highlight and the exterior was also good. At this price, the car is too good. Read More","Dec 14, 2019",5,cardekho.com
"This car is a very good choice at this price, body, look, maintenance and service, everything is maintained by Kia India.","Dec 14, 2019",5,cardekho.com
The great car really with great interiors and full of new functionality which we haven't seen in any other car in India. Very much spacious and looks amazing.,"Dec 14, 2019",5,cardekho.com
