Review-Text,Review-Date,Star-Rating,Web-Site
Wonderful comfort and features. The engine is awesome. A perfect blend of practicality and cosmetics. It has ample storage and enough room for 5 passengers. It can be called a true SUV because of the given ground clearance. Read More,"Dec 23, 2019",5,cardekho.com
"Amazing suspension and runs smoothly, however, the price is too high.","Dec 23, 2019",5,cardekho.com
Kia Seltos is a luxury car who's exterior and interior gives the feel of cars like Range Rover. It is the best car in its segment. Seltos is an efficient car for a family. Its center console is so premium and the sunroof is amazing. The Bose music system is the best thing in the car. Read More,"Dec 23, 2019",5,cardekho.com
"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.","Dec 23, 2019",5,cardekho.com
Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressing interiors provided by the brand in this car. Read More,"Dec 22, 2019",5,cardekho.com
"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect of performance, looks, power, features, and many more features getting in this car. Read More","Dec 22, 2019",5,cardekho.com
"Best features and look at, best engine performance and my favorite car in 2019.","Dec 22, 2019",5,cardekho.com
Kia Seltos is not so attractive in terms of look but still most of the people like it. I rated this car at 4.5. ,"Dec 23, 2019",4,cardekho.com
Kia Seltos has all the best feature in this price range. It is a very attractive look and the most demanding car in this segment.,"Dec 22, 2019",4,cardekho.com
"Seltos, in the price, is a very good car someone can get. Everything in it is pretty good but being a new company, the after-sales service that you'll get may leave you unsatisfied. Also, suspension in it is a bit on the harder side, it pumps back the vehicle and this is the only reason I've given it 4 stars because when we buy a car, with power, l...Read More","Dec 20, 2019",4,cardekho.com
The stylish look of this car attracts so much to the people this car is impressive in its own way such a gangsta feeling when I see it moving in fast speed the interior of this car is so much classy This car gives you a royal feeling while driving and limbs of this car are excellent seats are also so comfortable this car in mid-range makes it attra...Read More,"Dec 21, 2019",4,cardekho.com
Worth Buying it. Value for money. Fully loaded with next-level features (in comparison to prevailing features in the market). Great mileage is there so you can take it to a longer distance and do good off-roading. Available in exciting colors. After-sales service is also good. If you people are looking for compact SUV that it will be one of the bes...Read More,"Dec 20, 2019",5,cardekho.com
"Seltos is near perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, ride quality is superb and easily comparable to my Innova Crysta, diesel manual mileage is excellent, seat comfort is superb. Read More","Dec 21, 2019",5,cardekho.com
Great build quality comfort is highest on its segment You can change lanes at 140 kmph too. It feels like a heavy car but gives confidence on the road.,"Dec 21, 2019",5,cardekho.com
"Best car of the year, awesome design, good space, and interior also. Good performance was amazing with BS6 engine.","Dec 21, 2019",5,cardekho.com
"Best car, luxury car in the small budget, this is the wonderful experience best car in the world.","Dec 21, 2019",5,cardekho.com
"This car is amazing, I love the drive quality and when driving the interior design of the car is very super and the car is very nice.","Dec 21, 2019",5,cardekho.com
"It's really hard to explain, I think its good for a middle-class family and it looks like a luxury one.","Dec 20, 2019",4,cardekho.com
Excellent car superb facility inbuilt. Camera and other excellent features which we get in 30 lacs plus car.,"Dec 21, 2019",5,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
,,,cardekho.com
"Very wonderful design and technical development are too high this type of car, and also so many features available in the vehicle, more options and more model, vehicle looking is good. I'm seen the car at road very nice and fantastic road presence, one of the my lovely car of this segment, thanks to KIA motors I'm waiting for next Carnival car, als...Read More","Dec 16, 2019",4,cardekho.com
